instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,datetime,sin_hour,cos_hour,sin_month,cos_month
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67,2011-01-01,-0.9976687691905393,-0.06824241336467046,0.5406408174555976,0.8412535328311812
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,2011-01-01,0.3984010898462414,-0.917211301505453,0.5406408174555976,0.8412535328311812
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,2011-01-01,0.1361666490962471,-0.9906859460363306,0.5406408174555976,0.8412535328311812
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,2011-01-01,0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,2011-01-01,0.730835964278124,0.6825531432186541,0.5406408174555976,0.8412535328311812
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,2011-01-01,0.8878852184023752,0.4600650377311522,0.5406408174555976,0.8412535328311812
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,2011-01-01,0.9790840876823229,0.20345601305263375,0.5406408174555976,0.8412535328311812
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,2011-01-01,0.2697967711570243,0.9629172873477994,0.5406408174555976,0.8412535328311812
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,2011-01-01,0.9422609221188205,-0.33487961217098616,0.5406408174555976,0.8412535328311812
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,2011-01-01,0.8169698930104421,-0.5766803221148671,0.5406408174555976,0.8412535328311812
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,2011-01-01,0.631087944326053,-0.7757112907044197,0.5406408174555976,0.8412535328311812
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,2011-01-01,0.9976687691905392,-0.06824241336467088,0.5406408174555976,0.8412535328311812
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75,2011-01-02,-0.39840108984624156,-0.9172113015054529,0.5406408174555976,0.8412535328311812
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,2011-01-02,-2.4492935982947064e-16,1.0,0.5406408174555976,0.8412535328311812
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,2011-01-02,-0.2697967711570252,0.962917287347799,0.5406408174555976,0.8412535328311812
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31,2011-01-02,-0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22,2011-01-02,-0.730835964278124,0.6825531432186542,0.5406408174555976,0.8412535328311812
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30,2011-01-02,-0.8878852184023756,0.4600650377311516,0.5406408174555976,0.8412535328311812
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53,2011-01-02,-0.979084087682323,0.2034560130526333,0.5406408174555976,0.8412535328311812
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65,2011-01-02,-0.9976687691905393,-0.06824241336467046,0.5406408174555976,0.8412535328311812
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74,2011-01-02,-0.816969893010442,-0.5766803221148672,0.5406408174555976,0.8412535328311812
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59,2011-01-02,-0.6310879443260528,-0.7757112907044198,0.5406408174555976,0.8412535328311812
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93,2011-01-02,-0.1361666490962464,-0.9906859460363308,0.5406408174555976,0.8412535328311812
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76,2011-01-02,-0.9422609221188204,-0.3348796121709864,0.5406408174555976,0.8412535328311812
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53,2011-01-02,0.3984010898462414,-0.917211301505453,0.5406408174555976,0.8412535328311812
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17,2011-01-02,0.2697967711570243,0.9629172873477994,0.5406408174555976,0.8412535328311812
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9,2011-01-02,0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6,2011-01-02,0.730835964278124,0.6825531432186541,0.5406408174555976,0.8412535328311812
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3,2011-01-02,0.8878852184023752,0.4600650377311522,0.5406408174555976,0.8412535328311812
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17,2011-01-02,0.0,1.0,0.5406408174555976,0.8412535328311812
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1,2011-01-02,0.9422609221188205,-0.33487961217098616,0.5406408174555976,0.8412535328311812
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8,2011-01-02,0.8169698930104421,-0.5766803221148671,0.5406408174555976,0.8412535328311812
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20,2011-01-02,0.631087944326053,-0.7757112907044197,0.5406408174555976,0.8412535328311812
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2,2011-01-02,0.9976687691905392,-0.06824241336467088,0.5406408174555976,0.8412535328311812
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70,2011-01-02,0.1361666490962471,-0.9906859460363306,0.5406408174555976,0.8412535328311812
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12,2011-01-03,-2.4492935982947064e-16,1.0,0.5406408174555976,0.8412535328311812
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61,2011-01-03,-0.39840108984624156,-0.9172113015054529,0.5406408174555976,0.8412535328311812
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20,2011-01-03,-0.2697967711570252,0.962917287347799,0.5406408174555976,0.8412535328311812
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52,2011-01-03,-0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52,2011-01-03,-0.730835964278124,0.6825531432186542,0.5406408174555976,0.8412535328311812
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110,2011-01-03,-0.8878852184023756,0.4600650377311516,0.5406408174555976,0.8412535328311812
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157,2011-01-03,-0.979084087682323,0.2034560130526333,0.5406408174555976,0.8412535328311812
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157,2011-01-03,-0.9976687691905393,-0.06824241336467046,0.5406408174555976,0.8412535328311812
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76,2011-01-03,-0.9422609221188204,-0.3348796121709864,0.5406408174555976,0.8412535328311812
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72,2011-01-03,-0.816969893010442,-0.5766803221148672,0.5406408174555976,0.8412535328311812
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77,2011-01-03,-0.6310879443260528,-0.7757112907044198,0.5406408174555976,0.8412535328311812
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61,2011-01-03,-0.1361666490962464,-0.9906859460363308,0.5406408174555976,0.8412535328311812
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44,2011-01-03,0.3984010898462414,-0.917211301505453,0.5406408174555976,0.8412535328311812
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88,2011-01-03,0.631087944326053,-0.7757112907044197,0.5406408174555976,0.8412535328311812
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154,2011-01-03,0.8169698930104421,-0.5766803221148671,0.5406408174555976,0.8412535328311812
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64,2011-01-03,0.9422609221188205,-0.33487961217098616,0.5406408174555976,0.8412535328311812
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,2011-01-03,0.9976687691905392,-0.06824241336467088,0.5406408174555976,0.8412535328311812
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,2011-01-03,0.9790840876823229,0.20345601305263375,0.5406408174555976,0.8412535328311812
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,2011-01-03,0.8878852184023752,0.4600650377311522,0.5406408174555976,0.8412535328311812
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,2011-01-03,0.2697967711570243,0.9629172873477994,0.5406408174555976,0.8412535328311812
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5,2011-01-03,0.0,1.0,0.5406408174555976,0.8412535328311812
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51,2011-01-03,0.1361666490962471,-0.9906859460363306,0.5406408174555976,0.8412535328311812
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65,2011-01-04,-0.816969893010442,-0.5766803221148672,0.5406408174555976,0.8412535328311812
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83,2011-01-04,-0.9422609221188204,-0.3348796121709864,0.5406408174555976,0.8412535328311812
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212,2011-01-04,-0.9976687691905393,-0.06824241336467046,0.5406408174555976,0.8412535328311812
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182,2011-01-04,-0.979084087682323,0.2034560130526333,0.5406408174555976,0.8412535328311812
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11,2011-01-04,-2.4492935982947064e-16,1.0,0.5406408174555976,0.8412535328311812
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54,2011-01-04,-0.730835964278124,0.6825531432186542,0.5406408174555976,0.8412535328311812
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48,2011-01-04,-0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35,2011-01-04,-0.2697967711570252,0.962917287347799,0.5406408174555976,0.8412535328311812
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63,2011-01-04,-0.6310879443260528,-0.7757112907044198,0.5406408174555976,0.8412535328311812
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112,2011-01-04,-0.8878852184023756,0.4600650377311516,0.5406408174555976,0.8412535328311812
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97,2011-01-04,-0.39840108984624156,-0.9172113015054529,0.5406408174555976,0.8412535328311812
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36,2011-01-04,0.9976687691905392,-0.06824241336467088,0.5406408174555976,0.8412535328311812
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57,2011-01-04,0.1361666490962471,-0.9906859460363306,0.5406408174555976,0.8412535328311812
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2,2011-01-04,0.2697967711570243,0.9629172873477994,0.5406408174555976,0.8412535328311812
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1,2011-01-04,0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2,2011-01-04,0.8878852184023752,0.4600650377311522,0.5406408174555976,0.8412535328311812
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4,2011-01-04,0.9790840876823229,0.20345601305263375,0.5406408174555976,0.8412535328311812
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5,2011-01-04,0.0,1.0,0.5406408174555976,0.8412535328311812
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94,2011-01-04,0.9422609221188205,-0.33487961217098616,0.5406408174555976,0.8412535328311812
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179,2011-01-04,0.8169698930104421,-0.5766803221148671,0.5406408174555976,0.8412535328311812
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100,2011-01-04,0.631087944326053,-0.7757112907044197,0.5406408174555976,0.8412535328311812
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42,2011-01-04,0.3984010898462414,-0.917211301505453,0.5406408174555976,0.8412535328311812
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78,2011-01-04,-0.1361666490962464,-0.9906859460363308,0.5406408174555976,0.8412535328311812
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71,2011-01-05,-0.39840108984624156,-0.9172113015054529,0.5406408174555976,0.8412535328311812
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42,2011-01-05,-0.2697967711570252,0.962917287347799,0.5406408174555976,0.8412535328311812
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43,2011-01-05,-0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89,2011-01-05,-0.730835964278124,0.6825531432186542,0.5406408174555976,0.8412535328311812
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132,2011-01-05,-0.8878852184023756,0.4600650377311516,0.5406408174555976,0.8412535328311812
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169,2011-01-05,-0.979084087682323,0.2034560130526333,0.5406408174555976,0.8412535328311812
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190,2011-01-05,-0.9976687691905393,-0.06824241336467046,0.5406408174555976,0.8412535328311812
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89,2011-01-05,-0.9422609221188204,-0.3348796121709864,0.5406408174555976,0.8412535328311812
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62,2011-01-05,-0.816969893010442,-0.5766803221148672,0.5406408174555976,0.8412535328311812
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62,2011-01-05,-0.6310879443260528,-0.7757112907044198,0.5406408174555976,0.8412535328311812
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79,2011-01-05,-0.1361666490962464,-0.9906859460363308,0.5406408174555976,0.8412535328311812
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19,2011-01-05,-2.4492935982947064e-16,1.0,0.5406408174555976,0.8412535328311812
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57,2011-01-05,0.3984010898462414,-0.917211301505453,0.5406408174555976,0.8412535328311812
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6,2011-01-05,0.0,1.0,0.5406408174555976,0.8412535328311812
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6,2011-01-05,0.2697967711570243,0.9629172873477994,0.5406408174555976,0.8412535328311812
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2,2011-01-05,0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2,2011-01-05,0.8878852184023752,0.4600650377311522,0.5406408174555976,0.8412535328311812
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46,2011-01-05,0.1361666490962471,-0.9906859460363306,0.5406408174555976,0.8412535328311812
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33,2011-01-05,0.9976687691905392,-0.06824241336467088,0.5406408174555976,0.8412535328311812
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88,2011-01-05,0.9422609221188205,-0.33487961217098616,0.5406408174555976,0.8412535328311812
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195,2011-01-05,0.8169698930104421,-0.5766803221148671,0.5406408174555976,0.8412535328311812
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115,2011-01-05,0.631087944326053,-0.7757112907044197,0.5406408174555976,0.8412535328311812
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3,2011-01-05,0.9790840876823229,0.20345601305263375,0.5406408174555976,0.8412535328311812
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67,2011-01-06,-0.39840108984624156,-0.9172113015054529,0.5406408174555976,0.8412535328311812
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52,2011-01-06,-0.2697967711570252,0.962917287347799,0.5406408174555976,0.8412535328311812
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48,2011-01-06,-0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69,2011-01-06,-0.730835964278124,0.6825531432186542,0.5406408174555976,0.8412535328311812
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112,2011-01-06,-0.8878852184023756,0.4600650377311516,0.5406408174555976,0.8412535328311812
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163,2011-01-06,-0.979084087682323,0.2034560130526333,0.5406408174555976,0.8412535328311812
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172,2011-01-06,-0.9976687691905393,-0.06824241336467046,0.5406408174555976,0.8412535328311812
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86,2011-01-06,-0.9422609221188204,-0.3348796121709864,0.5406408174555976,0.8412535328311812
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62,2011-01-06,-0.816969893010442,-0.5766803221148672,0.5406408174555976,0.8412535328311812
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70,2011-01-06,-0.6310879443260528,-0.7757112907044198,0.5406408174555976,0.8412535328311812
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23,2011-01-06,-2.4492935982947064e-16,1.0,0.5406408174555976,0.8412535328311812
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84,2011-01-06,-0.1361666490962464,-0.9906859460363308,0.5406408174555976,0.8412535328311812
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45,2011-01-06,0.3984010898462414,-0.917211301505453,0.5406408174555976,0.8412535328311812
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122,2011-01-06,0.631087944326053,-0.7757112907044197,0.5406408174555976,0.8412535328311812
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219,2011-01-06,0.8169698930104421,-0.5766803221148671,0.5406408174555976,0.8412535328311812
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95,2011-01-06,0.9422609221188205,-0.33487961217098616,0.5406408174555976,0.8412535328311812
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36,2011-01-06,0.9976687691905392,-0.06824241336467088,0.5406408174555976,0.8412535328311812
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4,2011-01-06,0.9790840876823229,0.20345601305263375,0.5406408174555976,0.8412535328311812
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1,2011-01-06,0.8878852184023752,0.4600650377311522,0.5406408174555976,0.8412535328311812
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2,2011-01-06,0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4,2011-01-06,0.2697967711570243,0.9629172873477994,0.5406408174555976,0.8412535328311812
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11,2011-01-06,0.0,1.0,0.5406408174555976,0.8412535328311812
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59,2011-01-06,0.1361666490962471,-0.9906859460363306,0.5406408174555976,0.8412535328311812
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72,2011-01-07,-0.816969893010442,-0.5766803221148672,0.5406408174555976,0.8412535328311812
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87,2011-01-07,-0.9422609221188204,-0.3348796121709864,0.5406408174555976,0.8412535328311812
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187,2011-01-07,-0.9976687691905393,-0.06824241336467046,0.5406408174555976,0.8412535328311812
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123,2011-01-07,-0.979084087682323,0.2034560130526333,0.5406408174555976,0.8412535328311812
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50,2011-01-07,-0.6310879443260528,-0.7757112907044198,0.5406408174555976,0.8412535328311812
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51,2011-01-07,-0.730835964278124,0.6825531432186542,0.5406408174555976,0.8412535328311812
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39,2011-01-07,-0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,36,2011-01-07,-0.2697967711570252,0.962917287347799,0.5406408174555976,0.8412535328311812
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,15,2011-01-07,-2.4492935982947064e-16,1.0,0.5406408174555976,0.8412535328311812
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95,2011-01-07,-0.8878852184023756,0.4600650377311516,0.5406408174555976,0.8412535328311812
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73,2011-01-07,-0.39840108984624156,-0.9172113015054529,0.5406408174555976,0.8412535328311812
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84,2011-01-07,0.9422609221188205,-0.33487961217098616,0.5406408174555976,0.8412535328311812
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67,2011-01-07,0.1361666490962471,-0.9906859460363306,0.5406408174555976,0.8412535328311812
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7,2011-01-07,0.2697967711570243,0.9629172873477994,0.5406408174555976,0.8412535328311812
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1,2011-01-07,0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1,2011-01-07,0.8878852184023752,0.4600650377311522,0.5406408174555976,0.8412535328311812
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5,2011-01-07,0.9790840876823229,0.20345601305263375,0.5406408174555976,0.8412535328311812
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17,2011-01-07,0.0,1.0,0.5406408174555976,0.8412535328311812
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59,2011-01-07,-0.1361666490962464,-0.9906859460363308,0.5406408174555976,0.8412535328311812
