instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,sin_hour,cos_hour,sin_month,cos_month
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17,0.0,1.0,0.49999999999999994,0.8660254037844387
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5,0.0,1.0,0.49999999999999994,0.8660254037844387
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5,0.0,1.0,0.49999999999999994,0.8660254037844387
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6,0.0,1.0,0.49999999999999994,0.8660254037844387
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11,0.0,1.0,0.49999999999999994,0.8660254037844387
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,36,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,15,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17,0.0,1.0,0.49999999999999994,0.8660254037844387
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,210,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,63,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
